,Chromosome,Left,Right,IMI,Crossover
85,Chr01,25189.0,25203.0,13,0
86,Chr01,25203.0,25232.0,28,0
87,Chr01,25232.0,25257.0,24,0
88,Chr01,25257.0,25293.0,35,0
89,Chr01,25293.0,25316.0,22,0
90,Chr01,25316.0,25343.0,26,0
91,Chr01,25343.0,25497.0,153,0
92,Chr01,25497.0,25519.0,21,0
93,Chr01,25519.0,25534.0,14,0
94,Chr01,25534.0,25609.0,74,0
95,Chr01,25609.0,25634.0,24,0
96,Chr01,25634.0,25641.0,6,0
97,Chr01,25641.0,25645.0,3,0
98,Chr01,25645.0,25743.0,97,0
99,Chr01,25743.0,25866.0,122,0
100,Chr01,25866.0,26223.0,356,0
101,Chr01,26223.0,26228.0,4,0
102,Chr01,26228.0,26234.0,5,0
103,Chr01,26234.0,26300.0,65,0
104,Chr01,26301.0,26307.0,5,0
105,Chr01,26307.0,26391.0,83,0
106,Chr01,26391.0,26405.0,13,0
107,Chr01,26405.0,26464.0,58,0
108,Chr01,26464.0,26484.0,19,0
109,Chr01,26484.0,26505.0,20,0
110,Chr01,26505.0,26508.0,2,0
111,Chr01,26508.0,26516.0,7,0
112,Chr01,26518.0,26565.0,46,0
113,Chr01,26565.0,26624.0,58,0
114,Chr01,26624.0,26659.0,34,0
115,Chr01,26659.0,26946.0,286,0
116,Chr01,26946.0,27084.0,137,0
117,Chr01,27084.0,27125.0,40,0
118,Chr01,27125.0,27174.0,48,0
119,Chr01,27174.0,27349.0,174,0
120,Chr01,27349.0,27899.0,549,0
121,Chr01,27899.0,27941.0,41,0
122,Chr01,27941.0,28009.0,67,0
123,Chr01,28009.0,28031.0,21,0
124,Chr01,28031.0,28037.0,5,0
125,Chr01,28037.0,28288.0,250,0
126,Chr01,28288.0,28296.0,7,0
127,Chr01,28296.0,28416.0,119,0
128,Chr01,28416.0,28519.0,102,0
129,Chr01,28519.0,28709.0,189,0
130,Chr01,28709.0,28734.0,24,0
131,Chr01,28734.0,28840.0,105,0
132,Chr01,28840.0,28937.0,96,0
133,Chr01,28937.0,29242.0,304,0
134,Chr01,29242.0,29283.0,40,0
135,Chr01,29283.0,29294.0,10,0
136,Chr01,29296.0,29616.0,319,0
137,Chr01,29616.0,29713.0,96,0
138,Chr01,29713.0,29728.0,14,0
139,Chr01,29728.0,29850.0,121,0
140,Chr01,29850.0,29879.0,28,0
141,Chr01,29879.0,30036.0,156,0
142,Chr01,30036.0,30204.0,167,0
143,Chr01,30204.0,30226.0,21,0
144,Chr01,30226.0,30231.0,4,0
145,Chr01,30231.0,30400.0,168,0
146,Chr01,30400.0,30470.0,69,0
147,Chr01,30470.0,30542.0,71,0
148,Chr01,30542.0,30583.0,40,0
149,Chr01,30583.0,30594.0,10,0
150,Chr01,30594.0,30598.0,3,0
151,Chr01,30599.0,30614.0,14,0
152,Chr01,30615.0,30731.0,115,0
153,Chr01,30731.0,30753.0,21,0
154,Chr01,30753.0,30768.0,14,0
155,Chr01,30768.0,30816.0,47,0
156,Chr01,30816.0,30831.0,14,0
157,Chr01,30831.0,30887.0,55,0
158,Chr01,30889.0,30926.0,36,0
159,Chr01,30926.0,31105.0,178,0
160,Chr01,31105.0,31130.0,24,0
161,Chr01,31130.0,31290.0,159,0
162,Chr01,31290.0,31366.0,75,0
163,Chr01,31366.0,31438.0,71,0
164,Chr01,31438.0,31444.0,5,0
165,Chr01,31444.0,31578.0,133,0
166,Chr01,31578.0,31585.0,6,0
167,Chr01,31585.0,32065.0,479,0
168,Chr01,32065.0,32124.0,58,0
169,Chr01,32124.0,32212.0,87,0
170,Chr01,32212.0,32228.0,15,0
171,Chr01,32228.0,32400.0,171,0
172,Chr01,32400.0,32422.0,21,0
173,Chr01,32422.0,32468.0,45,0
174,Chr01,32468.0,32519.0,50,0
175,Chr01,32519.0,32578.0,58,0
176,Chr01,32578.0,32680.0,101,0
177,Chr01,32680.0,32692.0,11,0
178,Chr01,32692.0,32695.0,2,0
179,Chr01,32695.0,32721.0,25,0
180,Chr01,32721.0,32805.0,83,0
181,Chr01,32805.0,32853.0,47,0
182,Chr01,32854.0,32865.0,10,0
183,Chr01,32865.0,32925.0,59,0
184,Chr01,32925.0,32931.0,5,0
185,Chr01,32931.0,32973.0,41,0
186,Chr01,32973.0,33026.0,52,0
187,Chr01,33026.0,33059.0,32,0
188,Chr01,33059.0,33407.0,347,0
189,Chr01,33407.0,33438.0,30,0
190,Chr01,33438.0,33459.0,20,0
191,Chr01,33459.0,33520.0,60,0
192,Chr01,33520.0,33557.0,36,0
193,Chr01,33557.0,33563.0,5,0
194,Chr01,33563.0,33645.0,81,0
195,Chr01,33645.0,33847.0,201,0
196,Chr01,33847.0,33879.0,31,0
197,Chr01,33879.0,34005.0,125,0
198,Chr01,34005.0,34140.0,134,0
199,Chr01,34140.0,34228.0,87,0
200,Chr01,34228.0,34359.0,130,0
201,Chr01,34359.0,34392.0,32,0
202,Chr01,34392.0,34404.0,11,0
203,Chr01,34404.0,34477.0,72,0
204,Chr01,34477.0,34482.0,4,0
205,Chr01,34482.0,34636.0,153,0
206,Chr01,34636.0,34743.0,106,0
207,Chr01,34743.0,34840.0,96,0
208,Chr01,34840.0,34940.0,99,0
209,Chr01,34940.0,35036.0,95,0
210,Chr01,35036.0,35139.0,102,0
211,Chr01,35139.0,35274.0,134,0
212,Chr01,35274.0,35278.0,3,0
213,Chr01,35278.0,35290.0,11,0
214,Chr01,35290.0,35512.0,221,3
215,Chr01,35512.0,35565.0,52,0
216,Chr01,35566.0,35586.0,19,0
217,Chr01,35586.0,35657.0,70,0
218,Chr01,35658.0,35674.0,15,0
219,Chr01,35674.0,35842.0,167,0
220,Chr01,35842.0,35895.0,52,0
221,Chr01,35895.0,35971.0,75,0
222,Chr01,35971.0,35984.0,12,0
223,Chr01,35984.0,36049.0,64,0
224,Chr01,36049.0,36053.0,3,0
225,Chr01,36053.0,36105.0,51,0
226,Chr01,36106.0,36197.0,90,0
227,Chr01,36197.0,36212.0,14,0
228,Chr01,36212.0,36280.0,67,0
229,Chr01,36280.0,36293.0,12,0
230,Chr01,36293.0,36364.0,70,2
231,Chr01,36364.0,36407.0,42,0
232,Chr01,36407.0,36427.0,19,0
233,Chr01,36427.0,36573.0,145,1
234,Chr01,36573.0,36618.0,44,0
235,Chr01,36618.0,36769.0,150,3
236,Chr01,36769.0,36882.0,112,0
237,Chr01,36882.0,37250.0,367,2
238,Chr01,37250.0,37415.0,164,1
239,Chr01,37415.0,37436.0,20,0
240,Chr01,37436.0,37604.0,167,0
241,Chr01,37604.0,37924.0,319,0
242,Chr01,37924.0,38055.0,130,0
243,Chr01,38055.0,38072.0,16,0
244,Chr01,38072.0,38358.0,285,0
245,Chr01,38358.0,38476.0,117,0
246,Chr01,38476.0,38724.0,247,2
247,Chr01,38724.0,38777.0,52,0
248,Chr01,38777.0,38829.0,51,0
249,Chr01,38830.0,39065.0,234,0
250,Chr01,39066.0,39118.0,51,0
251,Chr01,39118.0,39621.0,502,2
252,Chr01,39621.0,39921.0,299,0
253,Chr01,39921.0,39995.0,73,0
254,Chr01,39995.0,40124.0,128,0
255,Chr01,40124.0,40301.0,176,0
256,Chr01,40301.0,40498.0,196,0
257,Chr01,40498.0,40568.0,69,0
258,Chr01,40568.0,40572.0,3,0
259,Chr01,40572.0,40735.0,162,0
260,Chr01,40736.0,40849.0,112,1
261,Chr01,40849.0,40877.0,27,0
262,Chr01,40877.0,40977.0,99,0
263,Chr01,40977.0,40981.0,3,0
264,Chr01,40981.0,41198.0,216,0
265,Chr01,41198.0,41330.0,131,1
266,Chr01,41330.0,41403.0,72,0
267,Chr01,41403.0,41624.0,220,0
268,Chr01,41624.0,41651.0,26,0
269,Chr01,41651.0,41655.0,3,0
270,Chr01,41657.0,41785.0,127,0
271,Chr01,41785.0,41875.0,89,0
272,Chr01,41875.0,41901.0,25,0
273,Chr01,41901.0,41915.0,13,0
274,Chr01,41915.0,41920.0,4,0
275,Chr01,41921.0,41924.0,2,0
276,Chr01,41924.0,41938.0,13,0
277,Chr01,41938.0,41941.0,2,0
278,Chr01,41941.0,41956.0,14,0
279,Chr01,41956.0,42082.0,125,0
280,Chr01,42082.0,42115.0,32,0
281,Chr01,42115.0,42124.0,8,0
282,Chr01,42124.0,42153.0,28,0
283,Chr01,42153.0,42226.0,72,0
284,Chr01,42226.0,42271.0,44,0
285,Chr01,42271.0,42336.0,64,1
286,Chr01,42336.0,42558.0,221,0
287,Chr01,42558.0,42583.0,24,0
288,Chr01,42583.0,42784.0,200,1
289,Chr01,42784.0,42798.0,13,0
290,Chr01,42798.0,42822.0,23,0
291,Chr01,42822.0,42881.0,58,0
292,Chr01,42881.0,42886.0,4,0
293,Chr01,42886.0,42930.0,43,0
294,Chr01,42930.0,42944.0,13,0
295,Chr01,42944.0,43042.0,97,0
296,Chr01,43042.0,43145.0,102,0
297,Chr01,43145.0,43454.0,308,0
298,Chr01,43454.0,43511.0,56,0
299,Chr01,43511.0,43546.0,34,0
300,Chr01,43546.0,43582.0,35,0
301,Chr01,43584.0,43700.0,115,0
302,Chr01,43700.0,43856.0,155,0
303,Chr01,43856.0,43864.0,7,0
304,Chr01,43864.0,43974.0,109,1
305,Chr01,43974.0,44117.0,142,0
306,Chr01,44117.0,44195.0,77,0
307,Chr01,44195.0,44225.0,29,0
308,Chr01,44225.0,44246.0,20,0
309,Chr01,44246.0,44258.0,11,0
310,Chr01,44258.0,44354.0,95,1
311,Chr01,44354.0,44384.0,29,0
312,Chr01,44384.0,44426.0,41,0
313,Chr01,44426.0,44430.0,3,0
314,Chr01,44430.0,44433.0,2,0
315,Chr01,44433.0,44445.0,11,0
316,Chr01,44445.0,44484.0,38,0
317,Chr01,44484.0,44667.0,182,0
318,Chr01,44667.0,44926.0,258,0
319,Chr01,44926.0,44932.0,5,0
320,Chr01,44932.0,44941.0,8,0
321,Chr01,44941.0,45151.0,209,0
322,Chr01,45151.0,45263.0,111,0
323,Chr01,45263.0,45282.0,18,0
324,Chr01,45283.0,45396.0,112,0
325,Chr01,45397.0,45404.0,6,0
326,Chr01,45404.0,45430.0,25,0
327,Chr01,45430.0,45506.0,75,0
328,Chr01,45506.0,45555.0,48,0
329,Chr01,45555.0,45561.0,5,0
330,Chr01,45561.0,45592.0,30,0
331,Chr01,45592.0,45607.0,14,0
332,Chr01,45607.0,45613.0,5,0
333,Chr01,45613.0,45668.0,54,0
334,Chr01,45668.0,45688.0,19,0
335,Chr01,45688.0,45719.0,30,0
336,Chr01,45719.0,45727.0,7,0
337,Chr01,45727.0,45739.0,11,0
338,Chr01,45739.0,45752.0,12,0
339,Chr01,45752.0,45787.0,34,0
340,Chr01,45787.0,45801.0,13,0
341,Chr01,45801.0,46085.0,283,0
342,Chr01,46085.0,46089.0,3,0
343,Chr01,46089.0,46100.0,10,0
344,Chr01,46101.0,46111.0,9,0
345,Chr01,46111.0,46120.0,8,0
346,Chr01,46120.0,46125.0,4,0
347,Chr01,46125.0,46314.0,188,0
348,Chr01,46314.0,46335.0,20,0
349,Chr01,46335.0,46419.0,83,0
350,Chr01,46419.0,46580.0,160,0
351,Chr01,46580.0,46625.0,44,0
352,Chr01,46625.0,46704.0,78,0
353,Chr01,46704.0,46741.0,36,0
354,Chr01,46741.0,46763.0,21,0
355,Chr01,46763.0,46811.0,47,0
356,Chr01,46811.0,46956.0,144,0
357,Chr01,46956.0,46974.0,17,0
358,Chr01,46974.0,47526.0,551,0
359,Chr01,47526.0,47589.0,62,0
360,Chr01,47589.0,47783.0,193,0
361,Chr01,47783.0,47811.0,27,0
362,Chr01,47811.0,48389.0,577,0
363,Chr01,48389.0,48444.0,54,0
364,Chr01,48444.0,48630.0,185,0
365,Chr01,48630.0,48748.0,117,0
366,Chr01,48748.0,48853.0,104,0
367,Chr01,48853.0,48883.0,29,0
368,Chr01,48883.0,49018.0,134,0
369,Chr01,49018.0,49135.0,116,0
370,Chr01,49135.0,49434.0,298,0
371,Chr01,49434.0,49446.0,11,0
372,Chr01,49446.0,49676.0,229,0
373,Chr01,49676.0,49721.0,44,0
374,Chr01,49721.0,49730.0,8,0
375,Chr01,49730.0,49773.0,42,0
376,Chr01,49773.0,49779.0,5,0
377,Chr01,49779.0,49920.0,140,0
378,Chr01,49920.0,50749.0,828,0
379,Chr01,50749.0,50763.0,13,0
380,Chr01,50764.0,50986.0,221,0
381,Chr01,50986.0,51651.0,664,0
382,Chr01,51651.0,51965.0,313,0
383,Chr01,51965.0,52091.0,125,0
384,Chr01,52091.0,52100.0,8,0
385,Chr01,52100.0,52257.0,156,0
386,Chr01,52257.0,53083.0,825,0
387,Chr01,53083.0,53590.0,506,0
388,Chr01,53590.0,53604.0,13,0
389,Chr01,53604.0,54345.0,740,0
390,Chr01,54345.0,55787.0,1441,0
391,Chr01,55788.0,56796.0,1007,0
392,Chr01,56796.0,57365.0,568,0
393,Chr01,57365.0,57584.0,218,0
394,Chr01,57584.0,58000.0,415,0
395,Chr01,58000.0,58011.0,10,0
396,Chr01,58011.0,58415.0,403,0
397,Chr01,58415.0,58756.0,340,0
398,Chr01,58756.0,58873.0,116,0
399,Chr01,58873.0,59400.0,526,0
400,Chr01,59400.0,59658.0,257,0
401,Chr01,59658.0,59663.0,4,0
402,Chr01,59663.0,60020.0,356,0
403,Chr01,60020.0,60138.0,117,0
404,Chr01,60138.0,60198.0,59,0
405,Chr01,60198.0,60427.0,228,0
406,Chr01,60427.0,60483.0,55,0
407,Chr01,60483.0,60550.0,66,0
408,Chr01,60550.0,60559.0,8,0
409,Chr01,60559.0,60599.0,39,0
410,Chr01,60599.0,60660.0,60,0
411,Chr01,60660.0,60691.0,30,0
412,Chr01,60691.0,60718.0,26,0
413,Chr01,60718.0,60724.0,5,0
414,Chr01,60724.0,60735.0,10,0
415,Chr01,60735.0,60965.0,229,0
416,Chr01,60965.0,61103.0,137,0
417,Chr01,61103.0,61228.0,124,0
418,Chr01,61228.0,61361.0,132,0
419,Chr01,61361.0,61387.0,25,0
420,Chr01,61387.0,61483.0,95,0
421,Chr01,61483.0,61618.0,134,0
422,Chr01,61618.0,61648.0,29,0
423,Chr01,61648.0,61661.0,12,0
424,Chr01,61661.0,62295.0,633,0
425,Chr01,62296.0,62314.0,17,0
426,Chr01,62314.0,62318.0,3,0
427,Chr01,62318.0,62738.0,419,1
428,Chr01,62738.0,62930.0,191,0
429,Chr01,62930.0,62938.0,7,0
430,Chr01,62938.0,63271.0,332,0
431,Chr01,63271.0,63326.0,54,0
432,Chr01,63326.0,63383.0,56,0
433,Chr01,63383.0,63481.0,97,0
434,Chr01,63481.0,63570.0,88,0
435,Chr01,63570.0,63623.0,52,0
436,Chr01,63623.0,63798.0,174,0
437,Chr01,63798.0,63848.0,49,0
438,Chr01,63848.0,63851.0,2,0
439,Chr01,63851.0,64052.0,200,0
440,Chr01,64052.0,64172.0,119,0
441,Chr01,64172.0,64333.0,160,0
442,Chr01,64333.0,64385.0,51,0
443,Chr01,64385.0,64421.0,35,0
444,Chr01,64422.0,67733.0,3310,0
445,Chr01,67733.0,67873.0,139,0
446,Chr01,67873.0,68549.0,675,0
447,Chr01,68549.0,69251.0,701,0
448,Chr01,69251.0,69438.0,186,0
449,Chr01,69438.0,71073.0,1634,0
450,Chr01,71073.0,71460.0,386,0
451,Chr01,71460.0,71771.0,310,0
452,Chr01,71771.0,72104.0,332,0
453,Chr01,72104.0,72267.0,162,0
454,Chr01,72267.0,72561.0,293,0
455,Chr01,72561.0,72634.0,72,0
456,Chr01,72634.0,73455.0,820,0
457,Chr01,73455.0,73862.0,406,0
458,Chr01,73862.0,73880.0,17,0
459,Chr01,73880.0,73901.0,20,0
460,Chr01,73901.0,74007.0,105,0
461,Chr01,74007.0,74039.0,31,0
462,Chr01,74039.0,74063.0,23,0
463,Chr01,74063.0,74087.0,23,0
464,Chr01,74087.0,74223.0,135,0
465,Chr01,74223.0,74312.0,88,0
466,Chr01,74312.0,74315.0,2,0
467,Chr01,74315.0,74391.0,75,0
468,Chr01,74391.0,74938.0,546,0
469,Chr01,74938.0,75117.0,178,0
470,Chr01,75117.0,75120.0,2,0
471,Chr01,75120.0,75147.0,26,0
472,Chr01,75147.0,75733.0,585,0
473,Chr01,75734.0,76083.0,348,0
474,Chr01,76083.0,76321.0,237,0
475,Chr01,76321.0,76409.0,87,0
476,Chr01,76409.0,77012.0,602,0
477,Chr01,77012.0,77028.0,15,0
478,Chr01,77028.0,77098.0,69,0
479,Chr01,77098.0,77111.0,12,0
480,Chr01,77111.0,77291.0,179,0
481,Chr01,77291.0,77405.0,113,0
482,Chr01,77405.0,77434.0,28,0
483,Chr01,77434.0,77553.0,118,0
484,Chr01,77553.0,78206.0,652,0
485,Chr01,78206.0,78383.0,176,0
486,Chr01,78383.0,78546.0,162,0
487,Chr01,78546.0,78617.0,70,0
488,Chr01,78618.0,78873.0,254,0
489,Chr01,78873.0,79144.0,270,0
490,Chr01,79144.0,79173.0,28,0
491,Chr01,79174.0,79398.0,223,0
492,Chr01,79398.0,79425.0,26,0
493,Chr01,79425.0,79469.0,43,0
494,Chr01,79469.0,79520.0,50,0
495,Chr01,79520.0,79556.0,35,0
496,Chr01,79556.0,79595.0,38,0
497,Chr01,79595.0,79620.0,24,0
498,Chr01,79620.0,79648.0,27,0
499,Chr01,79648.0,79800.0,151,0
500,Chr01,79800.0,79897.0,96,0
501,Chr01,79897.0,79965.0,67,0
502,Chr01,79965.0,80223.0,257,0
503,Chr01,80223.0,80519.0,295,0
504,Chr01,80519.0,80561.0,41,0
505,Chr01,80561.0,80814.0,252,0
506,Chr01,80814.0,80908.0,93,0
507,Chr01,80908.0,81253.0,344,0
508,Chr01,81253.0,81751.0,497,0
509,Chr01,81751.0,81870.0,118,0
510,Chr01,81870.0,81966.0,95,0
511,Chr01,81966.0,82002.0,35,0
512,Chr01,82002.0,82025.0,22,0
513,Chr01,82025.0,82686.0,660,0
514,Chr01,82686.0,82781.0,94,0
515,Chr01,82781.0,82794.0,12,0
516,Chr01,82794.0,82855.0,60,0
517,Chr01,82855.0,82901.0,45,0
518,Chr01,82901.0,83061.0,159,0
519,Chr01,83061.0,83099.0,37,0
520,Chr01,83099.0,83148.0,48,0
521,Chr01,83148.0,83292.0,143,0
522,Chr01,83292.0,83314.0,21,0
523,Chr01,83314.0,83713.0,398,0
524,Chr01,83713.0,83962.0,248,0
525,Chr01,83962.0,84910.0,947,0
526,Chr01,84910.0,84968.0,57,0
527,Chr01,84968.0,84979.0,10,0
528,Chr01,84979.0,85051.0,71,0
529,Chr01,85051.0,85171.0,119,0
530,Chr01,85171.0,85362.0,190,0
531,Chr01,85362.0,85432.0,69,0
532,Chr01,85432.0,85603.0,170,0
533,Chr01,85603.0,85671.0,67,0
534,Chr01,85671.0,85827.0,155,0
535,Chr01,85827.0,85861.0,33,0
536,Chr01,85861.0,85865.0,3,0
537,Chr01,85865.0,85886.0,20,0
538,Chr01,85886.0,85922.0,35,0
539,Chr01,85922.0,85941.0,18,0
540,Chr01,85941.0,85957.0,15,0
541,Chr01,85957.0,86006.0,48,0
542,Chr01,86006.0,86022.0,15,0
543,Chr01,86022.0,86101.0,78,0
544,Chr01,86101.0,86118.0,16,0
545,Chr01,86118.0,86261.0,142,0
546,Chr01,86261.0,86385.0,123,0
547,Chr01,86385.0,86469.0,83,0
548,Chr01,86469.0,86525.0,55,0
549,Chr01,86525.0,86536.0,10,0
550,Chr01,86536.0,86546.0,9,0
551,Chr01,86546.0,86555.0,8,0
552,Chr01,86555.0,86588.0,32,0
553,Chr01,86588.0,86603.0,14,0
554,Chr01,86603.0,86611.0,7,0
555,Chr01,86611.0,86640.0,28,0
556,Chr01,86640.0,86682.0,41,0
557,Chr01,86682.0,86695.0,12,0
558,Chr01,86695.0,86731.0,35,0
559,Chr01,86731.0,88640.0,1908,0
560,Chr01,88640.0,88667.0,26,0
561,Chr01,88667.0,88718.0,50,0
562,Chr01,88718.0,89006.0,287,0
563,Chr01,89006.0,89120.0,113,0
564,Chr01,89120.0,89660.0,539,0
565,Chr01,89660.0,90081.0,420,0
566,Chr01,90081.0,90500.0,418,0
567,Chr01,90500.0,90510.0,9,0
568,Chr01,90510.0,91024.0,513,0
569,Chr01,91024.0,91442.0,417,0
570,Chr01,91442.0,91451.0,8,0
571,Chr01,91451.0,91471.0,19,0
572,Chr01,91471.0,91551.0,79,0
573,Chr01,91551.0,91611.0,59,0
574,Chr01,91611.0,91616.0,4,0
575,Chr01,91616.0,91643.0,26,0
576,Chr01,91643.0,91693.0,49,0
577,Chr01,91693.0,91733.0,39,0
578,Chr01,91733.0,91800.0,66,0
579,Chr01,91800.0,91807.0,6,0
580,Chr01,91807.0,91817.0,9,0
581,Chr01,91817.0,91854.0,36,0
582,Chr01,91854.0,91871.0,16,0
583,Chr01,91871.0,91913.0,41,0
584,Chr01,91913.0,91935.0,21,0
585,Chr01,91935.0,92430.0,494,0
586,Chr01,92430.0,92830.0,399,0
587,Chr01,92830.0,93084.0,253,0
588,Chr01,93084.0,93102.0,17,0
589,Chr01,93102.0,93577.0,474,0
590,Chr01,93577.0,93927.0,349,0
591,Chr01,93927.0,94036.0,108,0
592,Chr01,94036.0,94733.0,696,0
593,Chr01,94733.0,94755.0,21,0
594,Chr01,94755.0,94934.0,178,0
595,Chr01,94934.0,95002.0,67,0
596,Chr01,95002.0,95027.0,24,0
597,Chr01,95028.0,95040.0,11,0
598,Chr01,95040.0,95100.0,59,0
599,Chr01,95100.0,95126.0,25,0
600,Chr01,95128.0,95134.0,5,0
601,Chr01,95134.0,95262.0,127,0
602,Chr01,95262.0,95267.0,4,0
603,Chr01,95267.0,95292.0,24,0
604,Chr01,95292.0,95308.0,15,0
605,Chr01,95308.0,95413.0,104,0
606,Chr01,95413.0,95424.0,10,0
607,Chr01,95424.0,95430.0,5,0
608,Chr01,95430.0,95441.0,10,0
609,Chr01,95441.0,95450.0,8,0
610,Chr01,95450.0,95553.0,102,0
611,Chr01,95553.0,95706.0,152,0
612,Chr01,95706.0,96076.0,369,0
613,Chr01,96076.0,96498.0,421,0
614,Chr01,96498.0,96673.0,174,0
615,Chr01,96673.0,96938.0,264,0
616,Chr01,96938.0,96971.0,32,0
617,Chr01,96971.0,97455.0,483,0
618,Chr01,97455.0,98416.0,960,0
619,Chr01,98416.0,98444.0,27,0
620,Chr01,98444.0,99434.0,989,0
621,Chr01,99434.0,99477.0,42,0
622,Chr01,99477.0,99616.0,138,0
623,Chr01,99616.0,99621.0,4,0
624,Chr01,99621.0,99682.0,60,0
625,Chr01,99682.0,99760.0,77,0
626,Chr01,99760.0,99783.0,22,0
627,Chr01,99783.0,99794.0,10,0
628,Chr01,99794.0,99799.0,4,0
629,Chr01,99799.0,100136.0,336,0
630,Chr01,100136.0,100142.0,5,0
631,Chr01,100142.0,100160.0,17,0
632,Chr01,100160.0,100290.0,129,0
633,Chr01,100290.0,100336.0,45,0
634,Chr01,100336.0,100339.0,2,0
635,Chr01,100339.0,100363.0,23,0
636,Chr01,100363.0,101721.0,1357,0
637,Chr01,101721.0,102124.0,402,0
638,Chr01,102124.0,102387.0,262,0
639,Chr01,102387.0,102422.0,34,0
640,Chr01,102422.0,102430.0,7,0
641,Chr01,102430.0,102459.0,28,0
642,Chr01,102459.0,102467.0,7,0
643,Chr01,102467.0,102534.0,66,0
644,Chr01,102534.0,102718.0,183,0
645,Chr01,102719.0,102764.0,44,0
646,Chr01,102764.0,102869.0,104,0
647,Chr01,102869.0,103019.0,149,0
648,Chr01,103019.0,103028.0,8,0
649,Chr01,103028.0,103055.0,26,0
650,Chr01,103055.0,103075.0,19,0
651,Chr01,103075.0,103132.0,56,0
652,Chr01,103132.0,103137.0,4,0
653,Chr01,103137.0,103545.0,407,0
654,Chr01,103545.0,104101.0,555,0
655,Chr01,104101.0,104291.0,189,0
656,Chr01,104291.0,104348.0,56,0
657,Chr01,104348.0,104972.0,623,0
658,Chr01,104972.0,105203.0,230,0
659,Chr01,105203.0,105234.0,30,0
660,Chr01,105234.0,105278.0,43,0
661,Chr01,105278.0,105346.0,67,0
662,Chr01,105346.0,105450.0,103,0
663,Chr01,105450.0,106205.0,754,0
